Reporter intensity corrected 1 1	Reporter intensity corrected 2 1	Reporter intensity corrected 3 1	Reporter intensity corrected 4 1	Reporter intensity corrected 5 1	Only identified by site	Reverse	Potential contaminant	Protein name	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Gene name
19.2101726531982	18.4477443695068	18.229663848877	17.0409965515137	17.2536811828613				Translation machinery-associated protein 7	1	1	1	14.1	14.1	14.1	7.0913	0.0012151	1.2572	22815000	1	A0A024R1R8;Q9Y2S6	A0A024R1R8;Q9Y2S6	Translation machinery-associated protein 7	hCG_2014768;TMA7	0	hCG_2014768;TMA7
21.3121871948242	21.9336223602295	20.199764251709	18.6774864196777	19.3938522338867				Diphosphoinositol polyphosphate phosphohydrolase 2;Diphosphoinositol polyphosphate phosphohydrolase 3-alpha;Diphosphoinositol polyphosphate phosphohydrolase 3-beta	2	2	2	10.5	10.5	10.5	20.434	0.00085948	1.605	135400000	2	A0A024RBG1;Q96G61;Q8NFP7;Q9NZJ9	A0A024RBG1;Q96G61;Q8NFP7;Q9NZJ9	Diphosphoinositol polyphosphate phosphohydrolase 3-beta;Diphosphoinositol polyphosphate phosphohydrolase 3-alpha;Diphosphoinositol polyphosphate phosphohydrolase 2	NUDT4;NUDT11;NUDT10	1	NUDT10;NUDT11;NUDT4
17.012580871582	17.4854202270508	16.4093246459961	16.0786724090576	15.8364696502686					2	2	2	17.5	17.5	17.5	28.17	0	44.033	30797000	3	P0DPI2;A0A0B4J2D5	P0DPI2;A0A0B4J2D5			2	
17.6642112731934	17.7803344726563	17.0180263519287	16.4077663421631	16.3994445800781				Malignant T-cell-amplified sequence 1	2	2	2	16.6	16.6	16.6	20.343	0	7.0822	53247000	2	A0A3B3IRV3;Q9ULC4	A0A3B3IRV3;Q9ULC4	Malignant T-cell-amplified sequence 1	MCTS1	3	MCTS1
16.5396289825439	16.6258506774902	16.5251235961914	15.4234437942505	15.4953870773315				Adenylate kinase 4, mitochondrial	3	3	3	15.7	15.7	15.7	25.208	0	4.9605	7960400	4	A0A8I5KW96;P27144	A0A8I5KW96;P27144	Adenylate kinase 4, mitochondrial	AK4	4	AK4
12.6395893096924	13.4656934738159	12.4913768768311	14.2686147689819	11.5493993759155				RNA-binding protein 47	1	1	1	3.2	3.2	3.2	64.098	0	6.6122	1244700	1	A0AV96	A0AV96	RNA-binding protein 47	RBM47	5	RBM47
18.7017116546631	19.0501403808594	18.1578311920166	17.5739288330078	17.611515045166				Ubiquitin-like modifier-activating enzyme 6	5	5	5	6.1	6.1	6.1	117.97	0	20.858	20603000	5	A0AVT1	A0AVT1	Ubiquitin-like modifier-activating enzyme 6	UBA6	6	UBA6
14.0674343109131	14.5925741195679	13.785758972168	12.9648466110229	12.849757194519				Extended synaptotagmin-2	1	1	1	1.3	1.3	1.3	102.36	0	2.5257	2974300	1	A0FGR8	A0FGR8	Extended synaptotagmin-2	ESYT2	7	ESYT2
15.95387840271	16.9011268615723	15.6448135375977	14.8209266662598	15.0111837387085				Shootin-1	2	2	2	3.6	3.6	3.6	71.639	0	10.139	6666100	2	A0MZ66	A0MZ66	Shootin-1	KIAA1598	8	KIAA1598
15.9461984634399	16.3846817016602	15.4591751098633	14.8795356750488	14.6957178115845				Neuroblastoma-amplified sequence	2	2	2	1	1	1	268.57	0	4.7214	5602300	3	A2RRP1	A2RRP1	Neuroblastoma-amplified sequence	NBAS	10	NBAS
